,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts
312,289.0,0,1584,1.7178470566408532e-06,5.989140832079892e-06,0
313,300.0,0,1584,0.0,3.422366189759938e-06,0
314,290.0,0,1584,0.0,7.700323926959862e-06,0
315,293.0,0,1584,1.7178470566408532e-06,5.133549284639907e-06,0
316,281.0,0,1584,1.7178470566408532e-06,5.561345058359899e-06,0
317,287.0,0,1584,1.7178470566408532e-06,1.2833873211599767e-05,0
318,303.0,0,1584,1.7178470566408532e-06,2.5667746423199534e-06,0
319,298.0,0,1584,0.0,1.711183094879969e-06,0
320,294.0,0,1584,1.7178470566408532e-06,4.705753510919915e-06,0
321,280.0,0,1584,0.0,4.705753510919915e-06,0
322,281.0,0,1585,0.0,0.0,0
323,298.0,0,1585,0.0,0.0,0
324,293.0,0,1585,0.0,0.0,0
325,294.0,0,1585,0.0,0.0,0
326,302.0,0,1585,0.0,0.0,0
327,278.0,0,1585,0.0,0.0,0
328,295.0,0,1585,0.0,0.0,0
329,289.0,0,1585,0.0,0.0,0
330,292.0,0,1585,0.0,0.0,0
331,282.0,0,1585,0.0,0.0,0
332,290.0,0,1585,0.0,0.0,0
333,301.0,0,1585,0.0,0.0,0
334,285.0,0,1585,0.0,0.0,0
335,296.0,0,1585,0.0,0.0,0
336,557.0,0,1587,6.871388226563413e-06,6.844732379519876e-06,0
337,555.0,0,1587,0.0,0.0,0
338,558.0,0,1587,1.546062350976768e-05,1.3689464759039753e-05,0
339,544.0,0,1587,1.7178470566408532e-06,0.0,0
340,548.0,0,1587,3.4356941132817063e-06,0.0,0
341,561.0,0,1587,6.012464698242986e-05,8.128119700679853e-05,0
342,537.0,0,1587,1.0307082339845118e-05,2.5667746423199534e-06,0
343,554.0,0,1587,0.0,4.2779577371999227e-07,0
344,536.0,0,1587,3.4356941132817063e-06,0.0,0
345,535.0,0,1587,1.7178470566408532e-06,0.0,0
346,539.0,0,1587,6.871388226563413e-06,2.1389788685999612e-06,0
347,550.0,0,1587,0.0,0.0,0
348,540.0,0,1587,6.871388226563413e-06,1.711183094879969e-06,0
349,551.0,0,1587,0.0,0.0,0
350,559.0,0,1588,0.0001271206821914,0.0002425602036992,0
351,548.0,0,1588,3.4356941132817063e-06,5.133549284639907e-06,0
352,542.0,0,1588,1.2024929396485972e-05,1.2406077437879776e-05,0
353,543.0,0,1588,1.7178470566408532e-06,2.994570416039946e-06,0
354,541.0,0,1588,1.546062350976768e-05,1.6684035175079698e-05,0
355,551.0,0,1588,0.0,2.1389788685999612e-06,0
356,544.0,0,1588,5.153541169922559e-06,7.272528153239869e-06,0
357,552.0,0,1588,1.7178470566408532e-06,8.555915474399845e-07,0
358,539.0,0,1588,3.4356941132817065e-05,4.064059850339926e-05,0
359,553.0,0,1588,1.8896317623049383e-05,6.844732379519876e-06,0
360,547.0,0,1588,1.7178470566408532e-06,2.1389788685999612e-06,0
361,537.0,0,1588,0.0001820917880039,0.0001574288447289,0
362,560.0,0,1588,4.466402347266218e-05,9.582625331327829e-05,0
363,534.0,0,1588,3.4356941132817063e-06,4.2779577371999227e-07,0
364,736.0,0,1589,0.0,4.2779577371999227e-07,0
365,726.0,0,1589,1.0307082339845118e-05,1.711183094879969e-06,0
366,710.0,0,1589,1.7178470566408532e-06,4.2779577371999227e-07,0
367,711.0,0,1589,5.153541169922559e-06,8.555915474399845e-07,0
368,714.0,0,1589,5.153541169922559e-06,0.0,0
369,728.0,0,1589,1.0307082339845118e-05,4.2779577371999227e-07,0
370,722.0,0,1589,1.7178470566408532e-06,0.0,0
371,719.0,0,1589,3.4356941132817063e-06,8.555915474399845e-07,0
372,717.0,0,1589,8.589235283204266e-06,4.2779577371999227e-07,0
373,724.0,0,1589,3.4356941132817063e-06,1.711183094879969e-06,0
374,737.0,0,1589,0.0,8.555915474399845e-07,0
375,716.0,0,1589,0.0,8.555915474399845e-07,0
376,735.0,0,1589,6.871388226563413e-06,0.0,0
377,731.0,0,1589,0.0,0.0,0
378,723.0,0,1590,0.0,0.0,0
379,717.0,0,1590,0.0,0.0,0
380,727.0,0,1590,0.0,4.2779577371999227e-07,0
381,728.0,0,1590,0.0,0.0,0
382,718.0,0,1590,0.0,0.0,0
383,721.0,0,1590,0.0,0.0,0
384,729.0,0,1590,1.7178470566408532e-06,0.0,0
385,736.0,0,1590,0.0,0.0,0
386,720.0,0,1590,0.0,0.0,0
387,714.0,0,1590,0.0,0.0,0
388,733.0,0,1590,0.0,4.2779577371999227e-07,0
389,722.0,0,1590,1.7178470566408532e-06,0.0,0
390,712.0,0,1590,0.0,0.0,0
391,725.0,0,1590,0.0,0.0,0
392,713.0,0,1591,1.8896317623049383e-05,1.11226901167198e-05,0
393,714.0,0,1591,1.7178470566408533e-05,8.555915474399845e-06,0
394,729.0,0,1591,2.4049858792971944e-05,7.700323926959862e-06,0
395,718.0,0,1591,2.5767705849612797e-05,8.983711248119837e-06,0
396,727.0,0,1591,2.5767705849612797e-05,6.416936605799884e-06,0
397,722.0,0,1591,1.0307082339845118e-05,5.989140832079892e-06,0
398,719.0,0,1591,2.5767705849612797e-05,1.0694894342999809e-05,0
399,715.0,0,1591,3.951048230273962e-05,5.561345058359899e-06,0
400,723.0,0,1591,1.0307082339845118e-05,8.128119700679853e-06,0
401,720.0,0,1591,2.0614164679690236e-05,7.272528153239869e-06,0
402,712.0,0,1591,1.7178470566408533e-05,1.2833873211599767e-05,0
403,731.0,0,1591,1.546062350976768e-05,8.983711248119837e-06,0
404,728.0,0,1591,2.233201173633109e-05,7.700323926959862e-06,0
405,716.0,0,1591,2.0614164679690236e-05,5.989140832079892e-06,0
406,748.0,0,1592,5.49711058125073e-05,6.416936605799884e-06,0
407,765.0,0,1592,1.546062350976768e-05,5.561345058359899e-06,0
408,770.0,0,1592,1.2024929396485972e-05,1.2833873211599767e-06,0
409,767.0,0,1592,8.589235283204266e-06,1.711183094879969e-06,0
410,756.0,0,1592,1.3742776453126824e-05,4.2779577371999227e-07,0
411,769.0,0,1592,5.840679992578901e-05,9.839302795559822e-06,0
412,749.0,0,1592,5.668895286914815e-05,1.711183094879969e-06,0
413,766.0,0,1592,1.546062350976768e-05,2.994570416039946e-06,0
414,762.0,0,1592,1.8896317623049383e-05,4.2779577371999225e-06,0
415,753.0,0,1592,0.000109942211625,2.1389788685999612e-06,0
416,764.0,0,1592,5.840679992578901e-05,3.422366189759938e-06,0
417,758.0,0,1592,8.589235283204266e-06,2.994570416039946e-06,0
418,747.0,0,1592,4.466402347266218e-05,4.705753510919915e-06,0
419,768.0,0,1592,1.8896317623049383e-05,3.422366189759938e-06,0
420,759.0,0,1593,0.0,0.0,0
421,751.0,0,1593,3.4356941132817063e-06,4.2779577371999227e-07,0
422,756.0,0,1593,1.7178470566408532e-06,0.0,0
423,762.0,0,1593,0.0,4.2779577371999227e-07,0
424,752.0,0,1593,3.4356941132817063e-06,0.0,0
425,749.0,0,1593,1.7178470566408532e-06,0.0,0
426,754.0,0,1593,0.0,4.2779577371999227e-07,0
427,767.0,0,1593,0.0,4.2779577371999227e-07,0
428,768.0,0,1593,3.4356941132817063e-06,8.555915474399845e-07,0
429,746.0,0,1593,5.153541169922559e-06,0.0,0
430,757.0,0,1593,1.7178470566408532e-06,0.0,0
431,771.0,0,1593,0.0,0.0,0
432,758.0,0,1593,0.0,0.0,0
433,770.0,0,1593,5.153541169922559e-06,0.0,0
434,760.0,0,1594,0.0,1.711183094879969e-06,0
435,761.0,0,1594,5.153541169922559e-06,8.555915474399845e-07,0
436,749.0,0,1594,0.0,0.0,0
